Year,USD,Yen,Peso,Ruble,SGD,EURO
2013,58.5,0.632,4.2342,1.7948,44.8116,72.2373
2014,60.9,0.5871,4.725,1.8803,48.9259,85.1307
2015,64.1,0.527,4.2794,1.0703,47.7073,76.3769
2016,69,0.5513,3.8475,0.9064,46.7554,72.0812
2017,68,0.5809,3.2768,1.1094,46.9693,71.4848
2018,68.4,0.5664,3.2497,1.1058,47.7612,76.7279
2019,70.4,0.6359,3.5521,1.0081,51.1694,79.9392
2020,74.1,0.656,3.7717,1.1528,53.0137,80.0097
2021,73.9,0.708,3.6763,0.9985,55.3049,88.695
2022,74.4,0.6474,3.6354,0.9963,55.2531,84.7536
2023,81.2,0.6321,4.2443,1.122,61.8006,88.5593
